ID,FBO,PHONE,Email,FBO NOTES
KEWR,SIGNATURE,973-624-1660,973-624-0320,
KEYW,SIGNATURE,1-305-296-5422,1-305-296-4141  eyw@signatureflight.com,
KGEG,SIGNATURE,509-455-5204,geg@signatureflight.com,Customs POE
KHXD,SIGNATURE,1-843-689-3200,hxd@signatureflight.com,
KLGA,SIGNATURE,718-476-5200,718-476-5239,
KSEA,SIGNATURE,206-433-5481,sea@signatureflight.com,
KSFO,SIGNATURE,650-877-6800,sfo@signatureflight.com,
LFPB,SIGNATURE,1-4169-1000,,
LGAV,SIGNATURE,011-30-210-353-6644,011-30-210-353-2407,
LGIR,SIGNATURE,30-2810-332650,30-2810-283163,
TKPK,SIGNATURE,1-869-662-9515,skb@signatureaviation.com ,Hours: 06:00-21:00 (O/T on rqst) FBO has a $500.00 Per Hour Fee for after hours/If approved by the local authorities - Chantel De-Suza-Manager Mobile # 1-869-766-9407
KMHT,Signature ,603-782-0151,MHT@signatureflight.com,Must call during business Hrs to make night arrang
KMKE,SIGNATURE AVAITION,414-747-5100,414-747-4588,
KBKL,Signature Aviation,216-861-2030,bkl@signatureflight.com,
KDCA,SIGNATURE AVIATION,703.417.3500,703.417.3501,
KLIT,Signature Aviation,501-374-6582,501-907-8969,Hours of Operation are 24-7
KMQS,SIGNATURE AVIATION,1-610-384-9000,1-610-384-7083,
KRST,SIGNATURE AVIATION,507-282-1717,507-282-9939,
KSAT,SIGNATURE AVIATION,800-456-3587,210-824-7222,
TIST,Signature Aviation,1-877-894-1810,STT@SignatureFlight.com,FBO CANNOT arrange grounds.  Must contact DOH w/ at least 3 hours notice
TUPJ,Signature Aviation,1-284-495-0303,eisops@iamjetcentre.com,
EGHI,SIGNATURE FBO,011-4423-8061-6600,SOU@signatureflight.co.uk,
KDET,SIGNATURE FLIGHT SUP,313-527-6620,313567-7799,
KHSV,SIGNATURE FLIGHT SUP,256-772-9341,256-772-9415,OPS-PLEASE CALL CUSTOMS AT 1.256.772.3404 AND INFORM THEM THAT WE HAVE NO TRASH ON BOARD THE AIRCRAFT - OTHERWISE WE WILL BE REQUIRED TO PAY $175.00
KMSP,SIGNATURE FLIGHT SUP,612-726-5700,612-726-5032,
KORD,SIGNATURE FLIGHT SUP,773-686-7000,ord@signatureflight.com,
TNCM,SIGNATURE FLIGHT SUP,407-563-1892,sxm@signatureflight.com,Hours: 0700-2100L (O/T on rqst)
EGCC,SIGNATURE FLIGHT SUPPORT,011-44-161-436-6666,man@signatureflight.co.uk,
EGKB,SIGNATURE FLIGHT SUPPORT,011-44-1959-577-027,BQH@signatureflight.co.uk,
EGKK,SIGNATURE FLIGHT SUPPORT,011-44-1293-569-000,LGW@signatureflight.co.uk,
EGLL,SIGNATURE FLIGHT SUPPORT,011-44-0208-283-2500,LHR@signatureflight.co.uk,
KMIA,Signature Flight Support,305-874-1477,miafbo@signatureflight.com,
KSTL,SIGNATURE FLIGHT SUPPORT,1-314-731-7111,STL@signatureflight.com,
MPTO,SIGNATURE FLIGHT SUPPORT,011-507-380-4000,joshua.schattka@signatureflight.com,
TAPA,Signature Flight Support,1-268-462-2522 or 407-235-9018,ANU@signatureflight.com,"Avfuel-Choose IAM when rqstg fuel release!! For all (MEDICAVS) please contact CMO prior to arrival.
Ena.hengry@ab.gov.ag – ministry of foreign affairs 
Ronda.cealey-thomas@ab.gov.ag – CMO- 764-5074"
EGFF,SIGNATURE FLT SUPP,011-44-1446-712637,cwl@signatureflight.co.uk,
KSAV,SIGNATURE FSO,912-964-1557,912-964-7321,
KFRG,Signature-Republic Aviation,631-881-9520,FBO@republicjetcenter.com,
EGGW,SIGNATURE-Terminal 1,44-1582-724182,LTN@signatureflight.co.uk,
KLCI,Sky Bright,603-528-6818,line@skybright.com,
KCYS,SKY HARBOR AIR SVC,307-634-4417,617-635-7316,
LIRF,SKY SERVICES,39-081-552-2421,ops@skyservices.it,AIRPORT 24/7
SAME,SKY SUPPORT,5411-4991-8843,,
KMOD,SKY TREK,800-237-3723,209-525-8677,
LPPR,SKY VALET,+011-351-22-097-5399,lppr@jetbase.biz,
KSJT,SKYLINE AVIATION,325-944-8858,flyskyline@hotmail.com,
KJXN,SKYWAYS,888-875-9929,517-787-0299,
KBTA,SkyWerx,402-533-2247,yolanda@skywerxaviation.com,
KMEV,SOAR MINDEN,800.345.7627,775.782.6505,
BIKF,SOUTH AIR ICELAND,011-354-425-5520,ops@southair.is,
KHBG,SOUTHEAST AVIATION,601-544-8661,601-545-1228,
KSEM,Southeastern Aviation,334-875-2189,dustin.southeasternaviation@gmail.com,
KACJ,Souther Field,229-924-2813,frankie@southerfield.com,
KSFM,Southern Maine,207-324-8919,fly@flyingsma.com,After Hours: 207-651-9308
KLRU,SOUTHWEST AVIATION,505-524-8047,southwestaviation.fbo@gmail.com,
MYIG,SOVEREIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,Call her after email
MYLD,SOVEREIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,Call her after email
MYLS,SOVEREIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,Call her after email
MYMM,SOVEREIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,Call her after email
MYSM,SOVEREIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505,handling@saa-bs.com; operations@saa-bs.com,AIRPORT CLOSED DUSK-DAWN!
MYAB,SOVERIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,
MYAF,SOVERIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,
MYAK,SOVERIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,
MYAP,SOVERIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,
MYAT,SOVERIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,
MYAX,SOVERIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,
MYBC,SOVERIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,
MYBS,SOVERIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,
MYCA,SOVERIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,
MYCB,SOVERIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,
MYCH,SOVERIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,
MYEN,SOVERIGN ATLANTIC (Sue),242-332-1984 or 242-805-0505, handling@saa-bs.com (Sue) or operations@saa-bs.com,
KHDN,SPECTRUM JET CENTER,970-276-3743,,
KMRN,SPEEDBIRD AVIATION,828.757.0099,828.758.8231,
KHQU,Spirit Aviation,706-595-1300,info@spirit-aviation.com,
KMWC,Spring City Aviation,414-461-3222,gavin@springcityaviation.com,
KASG,SPRINGDALE AIR SVC,501-751-4462,501-751-2646,
KMDT,STAMBAUGHS AIR,717-944-1787,717-944-0791,
KSFB,STARPORT,407-321-8880,407-330-4209,
KTBR,Statesboro-Bulloch Cty,912-734-9083,info@statesboroairport.com,
KSPI,STELLAR AVIATION,217-523-5080,spifbo@stellaraviationgroup.com,
CYPQ,STEWART AVIATION,705-745-8626, operations@stewartaviation.ca,
KSWO,STILLWATER FLT. CTR.,405-624-5463,info@stillwaterflightcenter.com,
UUEE,Streamline,+7-495-984-4154,+7-499-241-4214,ops@stln.aero
KGGG,STUBBINST AVIATION,888-643-0903,903-643-0941,
KSGR,SUGARLAND AVAITON,281-275-2400,281-275-2404,
SUMU,Sumu Pike,800-231-5600,,Universal
KVRB,SUN AVIATION,800-580-7631,,
KLEE,SUNAIR AVIATION,352-787-2211,sunair@sunairaviation.com,
ENGM,SUNDT AIR EXEC HDLG,47-648-20200,handling@sundtair.com,
CYXH,SUPER T AVIATION SVCS,403-548-6636,tsuper@supertaviation.ca,AFTER HOURS 403-928-7133
KLAN,SUPERIOR AVIATION,1800-882-7751,517-321-9674,
KSMO,SUPERMARINE AVITAT,310-396-6770,310-396-3611,
LESA,SWISSPORT,34-667-544-953,SLM.OPS@swissport.com,
KHZD,SWOR AVIATION,901-352-7278,,
KAMA,TAC AIR,800-657-7142,amafbo@tacair.com,
KFSM,TAC AIR,479-646-1611,fsmfbo@tacair.com,
KGMU,TAC AIR,800-388-9380,864-370-2939,
KLEX,TAC AIR,859-255-7724,lexfbo@tacair.com,
KOMA,TAC AIR,800-227-9839,omafbo@tacair.com,
KPVU,Tac Air,801-356-3535,pvufbo@tacair.com,
KSHV,TAC AIR,318-636-1000,shvfbo@tacair.com,
KSLC,Tac Air,801-359-2085,slcinfo@tacair.com,
KSUS,Tac Air,636-532-8882,susfbo@tacair.com,
KTXK,TAC AIR,870-773-6969,txkfbo@tacair.com,
KBDL,TAC-AIR,860-627-3300,860-623-0295,
KTYS,TACAIR,865-970-9000,tysfbo@tacair.com,
SPTN,Tacna Corpac,51-54-844-503,,Hotel Tacna Gran Hotel 51-54-724-193
KTIW,TACOMA NARROWS AVIATION,253-853-7742,reservations@narrowsaviation.com,
KASN,TALLADEGA MUNI,256 761 4815,256 761 4817,
KOAJ,TAR HEEL AVIATION,910-324-2500,910-324-3323,
KITH,TAUGHANNOCK AVIATION,800-876-1551,607-257-3940,
KTAZ,Taylorville Air Service,217-824-9313,,
KAVP,TECH AVIATION,570-457-3400,717-451-0952,
KIAG,TECH AVIATION,716-298-9307,716-298-0148,
MHLC,TECNOLOGIAS UNIDAS,+504 2442-1070,opsmhlc@tecnologias-unidas.com,They can arrange grounds
MHLM,TECNOLOGIAS UNIDAS,+504-2668-3146/47,opsmhlm@tecnologias-unidas.com,They can arrange grounds
MHTG,TECNOLOGIAS UNIDAS,+504-233-4608,opsmhtg@tecnologias-unidas.com,They can arrange grounds
MHRO,TECNOLOGIAS UNIDAS ($400.00 Cash For Ambulance-Per Carlos),504-2480-5431/504 2445-2572,opsmhro@tecnologias-unidas.com,
KWVL,TELFORD,1-207-872-5555,,
KTEX,TELLURIDE AIRPORT,970-728-5051,970-728-4115,NO NIGHT OPERATIONS
KHUF,TERRE HAUTE AIR CENT,812-877-7600,812-877-7501,
KACT,TEXAS AERO,254-752-9731,254-752-6647,
KILE,TEXAS AERO,254-953-3274,254-953-3294,
KDTO,TEXAS AIR CENTER,940-898-1200,940-383-8117,
KFTW,TEXAS JET,817-624-8438,customerservice@texasjet.com,
KBDR,THREE WING FLYING SE,203-375-5795,203-377-8067,PIP Phillips-into-Plane
KTIX,TICO EXECUTIVE AV.,800-559-5437,,
KOLS,Tiffin Aviation Svcs,520-287-9120,info@tiffinaviation.com,customs will come to FBO
KGJT,TIMBERLINE AVAITION,800-237-1810,970-256-9493,ANSWERING SERVICE AFTER HRS ON WKENDS
KGRB,TITLETOWN JET CENTRE,920-494-2669,920-494-0950,
KTOC,TOCCOA AVIATION,706-886-1320,,prearrange after hours
KHDC,TOP GUN AVIATION,985-542-0719,csrtopgun@gmail.com; chadtopgun@gmail.com,
KTOR,TORRINGTON AV,307-532-2551,,
KAUS,TRAJEN FLT SUPPOR,800.727.2376,512-530-7002,
KMHR,TRAJEN FLT SUPPORT,916-368-1455,,
LFRS,Transport Aerien,33-240-848-283,,Contact Fabrice Papillion
KSPB,TRANSWESTERN AV,503-543-3121,,
KGRI,Trego Dugan Aviation,308-382-5788,customerservice@trego-dugan.com,
KLBF,TREGO/DUGAN,308-532-5864,lbf.customer@trego-dugan.com,
KBCR,TRI COUNTY AIRPORT AUTHORITY,850-547-6519,manager@kbcr.gov,FBO IS SELF SERVE/ LOBBY WILL BE OPEN IF NOONE IS THERE
KEVV,TRI STATE ARO,812-426-1221,bballard@tristateaero.com,
KTRI,TRI-CITY AVIATION,423-325-6261,mail@tricityaviation.com,
CYRQ,TROIS-RIVIERES AIRPORT,819-244-0699,cyrq@v3r.net,
KLGC,TROUP AIR,706-884-2121,,
KBIV,TULIP CITY AIR,616-392-7831,frontdesk@tulipcityair.com,
KNQA,Tulsair Beechcraft,901-873-4144,kowens@tulsairmemphis.com,After Hours 901-626-5921
KTYR,TYLER JET,903-597-1334,903-592-2561,
LIML,UNIVERSAL,011-39-02-70200424,,
EGSS,UNIVERSAL AVIATION,44-1279-680349,uk@universalaviation.aero,
HAAB,Universal Aviation,251 947 460682/251 91 937 4303,ethiopia-addis-ababa-haab@universalaviation.aero,Mobile: 251 911 796399
LEPA,UNIVERSAL AVIATION,011-390-270-200-424,,
SPZO,UNIVERSAL AVIATION,011.51.984.621.452-Norka or 011.51.998.441.361-Liliana or 011.51.932.728.820-Diana or 011.51.995.902.778-Lucila,dispatch@suafbo.com or sua-dispatch@hotmail.com,Very slow in Response Time / Use all #'s to make contact if necessary.
SVMC,UNIVERSAL AVIATION,1-713-944-1622,1-713-943-4650,
SVMI,UNIVERSAL AVIATION,58-212-3552241,58-212-3552514,
SVPR,UNIVERSAL AVIATION,58-212-3552241,58-212-3552514,
SVVA,UNIVERSAL AVIATION,58-416-6813092,58-212-3552514,
UHPP,UNIVERSAL AVIATION,011 7421 227 4614,011 7421 227 4614,
VABB,UNIVERSAL AVIATION,91-11-43581396,91-11-43581399,
VILK,UNIVERSAL AVIATION,91143581396,91143581399,
MRLB,Universal/ADS,011-506-2430-4786,costarica@universalaviation.aero,Ops Mgr: Jonathan 506-8848-5766
MROC,Universal/ADS,011-506-2430-4786,costarica@universalaviation.aero,Ops Mgr: Jonathan 506-8848-5766
MMMX,Universal/Orange Team,1-713-378-2734,cmorange@univ-wea.com,
KGNV,UNIVERSITY AIR CTR.,352-335-4681,csr@universityaircenter.com,
KROC,US AIRPORTS,585-527-6835,585-527-6837,
KPQL,US AVIATION,228-474-1000,228-475-0999,
KEGE,VAIL VALLEY JET CENT,970-524-7700,970-524-7746,"High Altitude, Mountianous Terrain"
KPWA,Valair,405-709-1550,customerservice@valairaviation.com,
KVLD,Valdosta Flying Svc,229-242-3175,valdostaflying@bellsouth.net,
KBFF,VALLEY AIRWAYS,308-635-1331,valleyairways@valleyairways.com,
KLBE,Vee Neal Aviation,724-539-4533,dwarmitage@veeneal.com,
LIPZ,Venice Aviation,39-41-260-6906,0,
KVNC,VENICE JET CENTER,941-485-1799,941-485-1699,
KMPV,VERMONT FLYING SERVI,802-223-2221,,
LOWW,Vienna Aircraft Services,43-1-7007-2204,43-1-7007-2464,
TVSA,Vincy Aviation,784-456-5500,fbo@vincyaviation.com,FBO OT fees: $100/hr after 10pm; $50/hr 6pm-10pm
KEVB,VINTAGE PROPS & JETS,904-428-0857,904-428-0857,
KVIS,VISALIA MUNI AIRPORT,559-713-4642,,
KMKG,Vision Ait,231-798-2126,info@ea-transport.com,
KHWD,VOLO AVIATION,510-670-2864,510-259-1959,
KSEF,Volo Aviation,863-655-6455,customerservicesef@voloaviation.com,
CYYB,VOYAGEUR AIRPORT SER,705-476-1750,info@voyav.com,
KCTJ,W GA RGL Airport Auth,770-834-0061,randy.williams@wgraa.com,After Hours 770-596-0333
KRBW,WALTERBORO MUNI.,843-549-2549,843-549-1444,
KHRJ,Warren Aviation,910-814-2740,npusser@warrencompany.com,
KAUW,Wassau Flying Svc,715-845-3400,taildraggerflyer@yahoo.com,
KUES,WAUKESHA,262.549.6150,262-549-1030,
KLUK,WAYPOINT AVIATION,1-800-769-4765,customerservice@WaypointAviationluk.com,
KRAP,WEST JET,800-888-4270,westjet@westjetair.com,
KAWM,WEST MEMPHIS AVAITIO,870-735-4656,wmairport@gmail.com,
KSFF,Western Aviaiton,509-534-7371,cservice@westernaviation.net,After Hours: 509-939-8197
KBOI,WESTERN AVIATION,800-333-3442,208-338-1869,answering service after hours
EGNJ,WESTON AVIATION,44-1652-680922,humberside@westonaviation.com,
EICK,Weston Aviation,+353-21-432-9702,cork@westonaviation.com,
MYEH,WHITE CROWN AVIATION,1-242-335-1650,frontdesk@whitecrownaviation.com,handler only no fuel
CYVV,WIARTON/KEPPEL,519-534-0140,airport@georgianbluffs.on.ca,
KF05,WILBARGER COUNTY AP,940-552-2182,,
KYIP,WILLOW RUN CENTER,888-538-2368,csryip@avflight.com,
KMEM,WILSON AIR,800-464-2992,901-345-1088,
KCLT,WILSON AIR CENTER,704-359-0440,cscharlotte@wilsonair.com,
KOKV,WINCHESTER AVIATION,540-662-5786,540-722-9335,
KISW,WINGS AVIATION,715-421-0330,715-421-1469,
KYNG,WINNER AVI,800-837-4964,,
KGIF,Winter Haven Rgnl Airport,863-298-4551,ltreggi@mywinterhaven.com,
KMSN,WISCONSIN AVATION,800-594-5359,608-249-6102,
KFLG,WISEMAN AVIATION,877-947-3326,,Orville for After Hours
KPKB,WOOD COUNTY AIRPORT,304-464-5115,304-464-5112,
CYQX,WOODWARD AVIATION,709-256-4414,operationsyqx@woodwardaviation.com,
CYYT,WOODWARD AVIATION SERVICES,888-490-3776,operationsyyt@woodwardaviation.com,
KMHE,WRIGHT BROS.,605-996-1228,,
KDAY,WRIGHT BROTHERS AERO,937-890-8900,937-890-8900,
KLVM,YELLOWSTONE AIR SERV,406-222-6504,,
KDAB,YELVINGTON JET CTR,386-257-7791,csr@yjeta.com,After Hours 386-547-5113
KICT,Yingling Aviation,316-943-3246,csr@yinglingaviation.com,
KJYR,YORK MUNICIPAL AIRPO,402-363-2660,402-363-2601,
HECA,Z-Aviation Svcs,20 2 2268 7914,ops@zasair.com,
KT86,ZAPATA COUNTY APT,956-765-9794,,
KZPH,ZEPHYRHILLS MUNI,813-788-4902,,
